id;control;cultivar;ano;Quantidade (Kg)
4;BRANCAS;BRANCAS;1982;53160
5;br_Cardinal; Cardinal;1982;0
6;br_Golden Queen; Golden Queen;1982;0
7;br_Patrícia; Patrícia;1982;0
8;br_Perlona; Perlona;1982;13971
9;br_Italia; Italia;1982;39189
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1982;0
1;TINTAS;TINTAS;1983;8154
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1983;2989
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1983;5165
4;BRANCAS;BRANCAS;1983;19074
5;br_Cardinal; Cardinal;1983;0
6;br_Golden Queen; Golden Queen;1983;0
7;br_Patrícia; Patrícia;1983;0
8;br_Perlona; Perlona;1983;4948
9;br_Italia; Italia;1983;14126
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1983;0
1;TINTAS;TINTAS;1984;5970
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1984;4380
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1984;1590
4;BRANCAS;BRANCAS;1984;14225
5;br_Cardinal; Cardinal;1984;0
6;br_Golden Queen; Golden Queen;1984;1545
7;br_Patrícia; Patrícia;1984;0
8;br_Perlona; Perlona;1984;10735
9;br_Italia; Italia;1984;1945
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1984;0
1;TINTAS;TINTAS;1985;17553
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1985;17553
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1985;0
4;BRANCAS;BRANCAS;1985;21346
5;br_Cardinal; Cardinal;1985;0
6;br_Golden Queen; Golden Queen;1985;4921
7;br_Patrícia; Patrícia;1985;0
8;br_Perlona; Perlona;1985;10548
9;br_Italia; Italia;1985;5877
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1985;0
1;TINTAS;TINTAS;1986;7352
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1986;5147
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1986;2205
4;BRANCAS;BRANCAS;1986;32966
5;br_Cardinal; Cardinal;1986;0
6;br_Golden Queen; Golden Queen;1986;3358
7;br_Patrícia; Patrícia;1986;0
8;br_Perlona; Perlona;1986;10753
9;br_Italia; Italia;1986;18855
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1986;0
1;TINTAS;TINTAS;1987;12670
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1987;12670
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1987;0
4;BRANCAS;BRANCAS;1987;70127
5;br_Cardinal; Cardinal;1987;0
6;br_Golden Queen; Golden Queen;1987;1321
7;br_Patrícia; Patrícia;1987;0
8;br_Perlona; Perlona;1987;64694
9;br_Italia; Italia;1987;4112
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1987;0
1;TINTAS;TINTAS;1988;58681
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1988;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1988;0
4;BRANCAS;BRANCAS;1988;0
5;br_Cardinal; Cardinal;1988;0
6;br_Golden Queen; Golden Queen;1988;0
7;br_Patrícia; Patrícia;1988;0
8;br_Perlona; Perlona;1988;0
9;br_Italia; Italia;1988;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1988;0
1;TINTAS;TINTAS;1989;441541
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1989;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1989;0
4;BRANCAS;BRANCAS;1989;0
5;br_Cardinal; Cardinal;1989;0
6;br_Golden Queen; Golden Queen;1989;0
7;br_Patrícia; Patrícia;1989;0
8;br_Perlona; Perlona;1989;0
9;br_Italia; Italia;1989;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1989;0
1;TINTAS;TINTAS;1990;157262
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1990;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1990;0
4;BRANCAS;BRANCAS;1990;0
5;br_Cardinal; Cardinal;1990;0
6;br_Golden Queen; Golden Queen;1990;0
7;br_Patrícia; Patrícia;1990;0
8;br_Perlona; Perlona;1990;0
9;br_Italia; Italia;1990;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1990;0
1;TINTAS;TINTAS;1991;104326
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1991;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1991;0
4;BRANCAS;BRANCAS;1991;0
5;br_Cardinal; Cardinal;1991;0
6;br_Golden Queen; Golden Queen;1991;0
7;br_Patrícia; Patrícia;1991;0
8;br_Perlona; Perlona;1991;0
9;br_Italia; Italia;1991;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1991;0
1;TINTAS;TINTAS;1992;94021
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1992;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1992;0
4;BRANCAS;BRANCAS;1992;0
5;br_Cardinal; Cardinal;1992;0
6;br_Golden Queen; Golden Queen;1992;0
7;br_Patrícia; Patrícia;1992;0
8;br_Perlona; Perlona;1992;0
9;br_Italia; Italia;1992;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1992;0
1;TINTAS;TINTAS;1993;0
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1993;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1993;0
4;BRANCAS;BRANCAS;1993;0
5;br_Cardinal; Cardinal;1993;0
6;br_Golden Queen; Golden Queen;1993;0
7;br_Patrícia; Patrícia;1993;0
8;br_Perlona; Perlona;1993;0
9;br_Italia; Italia;1993;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1993;0
1;TINTAS;TINTAS;1994;3852587
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1994;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1994;0
4;BRANCAS;BRANCAS;1994;0
5;br_Cardinal; Cardinal;1994;0
6;br_Golden Queen; Golden Queen;1994;0
7;br_Patrícia; Patrícia;1994;0
8;br_Perlona; Perlona;1994;0
9;br_Italia; Italia;1994;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1994;0
1;TINTAS;TINTAS;1995;80197
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1995;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1995;0
4;BRANCAS;BRANCAS;1995;0
5;br_Cardinal; Cardinal;1995;0
6;br_Golden Queen; Golden Queen;1995;0
7;br_Patrícia; Patrícia;1995;0
8;br_Perlona; Perlona;1995;0
9;br_Italia; Italia;1995;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1995;0
1;TINTAS;TINTAS;1996;1389173
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1996;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1996;0
4;BRANCAS;BRANCAS;1996;0
5;br_Cardinal; Cardinal;1996;0
6;br_Golden Queen; Golden Queen;1996;0
7;br_Patrícia; Patrícia;1996;0
8;br_Perlona; Perlona;1996;0
9;br_Italia; Italia;1996;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);1996;0
1;TINTAS;TINTAS;1997;374934
2;ti_ Alphonse Lavallee; Alphonse Lavallee;1997;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;1997;0
4;BRANCAS;BRANCAS;1997;0
