Id;País;ano;Quantidade (Kg)
20;Outros;1975;0
1;Argélia;1975;0
2;Argentina;1975;313210
3;Brasil;1975;0
4;Chile;1975;1261496
5;Colômbia;1975;229579
6;Egito;1975;0
7;Espanha;1975;55435
8;Estados Unidos;1975;33535
9;Grécia;1975;0
10;Itália;1975;0
11;México;1975;0
12;Peru;1975;0
13;Paraguai;1975;0
14;Portugal;1975;0
15;Panamá;1975;0
16;Reino Unido;1975;0
17;Uruguai;1975;0
18;Venezuela;1975;20457
19;Não consta na tabela;1975;0
20;Outros;1975;0
1;Argélia;1976;0
2;Argentina;1976;1219700
3;Brasil;1976;0
4;Chile;1976;3120369
5;Colômbia;1976;292849
6;Egito;1976;0
7;Espanha;1976;0
8;Estados Unidos;1976;19778
9;Grécia;1976;0
10;Itália;1976;0
11;México;1976;0
12;Peru;1976;0
13;Paraguai;1976;0
14;Portugal;1976;0
15;Panamá;1976;0
16;Reino Unido;1976;0
17;Uruguai;1976;0
18;Venezuela;1976;500
19;Não consta na tabela;1976;0
20;Outros;1976;0
1;Argélia;1976;0
2;Argentina;1976;651150
3;Brasil;1976;0
4;Chile;1976;1806900
5;Colômbia;1976;252441
6;Egito;1976;0
7;Espanha;1976;0
8;Estados Unidos;1976;19416
9;Grécia;1976;0
10;Itália;1976;0
11;México;1976;0
12;Peru;1976;0
13;Paraguai;1976;0
14;Portugal;1976;0
15;Panamá;1976;0
16;Reino Unido;1976;0
17;Uruguai;1976;0
18;Venezuela;1976;1168
19;Não consta na tabela;1976;0
20;Outros;1976;0
1;Argélia;1977;0
2;Argentina;1977;1974174
3;Brasil;1977;0
4;Chile;1977;2802160
5;Colômbia;1977;476525
6;Egito;1977;0
7;Espanha;1977;0
8;Estados Unidos;1977;29160
9;Grécia;1977;0
10;Itália;1977;0
11;México;1977;0
12;Peru;1977;0
13;Paraguai;1977;0
14;Portugal;1977;0
15;Panamá;1977;0
16;Reino Unido;1977;0
17;Uruguai;1977;0
18;Venezuela;1977;0
19;Não consta na tabela;1977;0
20;Outros;1977;0
1;Argélia;1977;0
2;Argentina;1977;1065046
3;Brasil;1977;0
4;Chile;1977;1635475
5;Colômbia;1977;383198
6;Egito;1977;0
7;Espanha;1977;0
8;Estados Unidos;1977;23701
9;Grécia;1977;0
10;Itália;1977;0
11;México;1977;0
12;Peru;1977;0
13;Paraguai;1977;0
14;Portugal;1977;0
15;Panamá;1977;0
16;Reino Unido;1977;0
17;Uruguai;1977;0
18;Venezuela;1977;0
19;Não consta na tabela;1977;0
20;Outros;1977;0
1;Argélia;1978;0
2;Argentina;1978;1998590
3;Brasil;1978;0
4;Chile;1978;3320968
5;Colômbia;1978;208954
6;Egito;1978;0
7;Espanha;1978;0
8;Estados Unidos;1978;15370
9;Grécia;1978;0
10;Itália;1978;0
11;México;1978;0
12;Peru;1978;1500
13;Paraguai;1978;0
14;Portugal;1978;0
15;Panamá;1978;0
16;Reino Unido;1978;0
17;Uruguai;1978;0
18;Venezuela;1978;0
19;Não consta na tabela;1978;0
20;Outros;1978;0
1;Argélia;1978;0
2;Argentina;1978;1256166
3;Brasil;1978;0
