id;control;cultivar;ano;Quantidade (Kg)
53;br_Niagara;Niagara;1971;239017
54;br_NiagaraBranca;Niagara Branca;1971;0
55;br_NiagaraRosada;Niagara Rosada;1971;0
56;br_Poloske;Poloske;1971;0
57;br_Seleções;Seleções;1971;0
58;br_SeyveVillard;Seyve Villard;1971;0
59;br_SeyveVillard5276;Seyve Villard 5276;1971;0
60;br_SeyveVillard12375;Seyve Villard 12375;1971;0
61;br_TardiadeCaxias;Tardia de Caxias;1971;0
62;br_Outras;Outras(2);1971;0
1;TINTAS;TINTAS;1972;187251954
2;ti_Bacarina;Bacarina;1972;67464
3;ti_Bailey;Bailey;1972;0
4;ti_Bordo;Bordo;1972;6530686
5;ti_Bourdin (S);Bourdin (S);1972;0
6;ti_BRSCarmen;BRS Carmen;1972;0
7;ti_BRSCora;BRS Cora;1972;0
8;ti_BRS Magna;BRS Magna;1972;0
9;ti_BRS Margot;BRS Margot;1972;0
10;ti_BRSMorena;BRS Morena;1972;0
29;ti_BRS Núbia ;BRS Núbia ;1972;0
11;ti_BRS Rúbea;BRS Rúbea;1972;0
12;ti_BRSVioleta;BRS Violeta;1972;0
13;ti_BRS Vitória;BRS Vitória;1972;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1972;0
16;ti_Coleções;Coleções;1972;0
17;ti_Concord;Concord;1972;2262221
18;ti_Concordclone30;Concord clone 30;1972;0
19;ti_Couderc;Couderc;1972;2550812
20;ti_Cynthiana(1);Cynthiana(1);1972;535172
21;ti_Herbemont;Herbemont;1972;45765536
22;ti_IAC138022;IAC 138022;1972;0
23;ti_Isabel;Isabel;1972;120365492
24;ti_IsabelPrecoce;Isabel Precoce;1972;0
25;ti_Jacquez;Jacquez;1972;278191
26;ti_Kyoko;Kyoko;1972;0
27;ti_Landot;Landot;1972;63740
28;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;1972;0
29;ti_Oberlin;Oberlin;1972;11136
30;ti_Othello;Othello;1972;34525
31;ti_Paco;Paco;1972;0
32;ti_Patricia;Patricia;1972;0
33;ti_Seibel;Seibel;1972;8786979
34;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);1972;0
35;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);1972;0
36;ti_Vênus;Vênus;1972;0
37;BRANCASEROSADAS;BRANCAS E ROSADAS;1972;898576
38;br_Baco;Baco;1972;5084
39;br_Bokay;Bokay;1972;0
40;br_BRS Bibiana ;BRS Bibiana ;1972;0
41;br_BRSClara;BRS Clara;1972;0
42;br_BRSLorena;BRS Lorena;1972;0
43;br_Couderc13;Couderc 13;1972;0
44;br_Delaware;Delaware;1972;7517
45;br_DonaZillá;Dona Zillá;1972;0
46;br_DutChess;Dut Chess;1972;0
47;br_Goethe;Goethe;1972;472553
48;br_IAC;IAC;1972;0
49;br_Juliana;Juliana;1972;0
50;br_Martha;Martha;1972;14716
51;br_Mistura de uvas americanas;Mistura de uvas americanas;1972;0
52;br_MoscatoEmbrapa;Moscato Embrapa;1972;0
53;br_Niagara;Niagara;1972;253262
54;br_NiagaraBranca;Niagara Branca;1972;0
55;br_NiagaraRosada;Niagara Rosada;1972;0
56;br_Poloske;Poloske;1972;0
57;br_Seleções;Seleções;1972;0
58;br_SeyveVillard;Seyve Villard;1972;145444
59;br_SeyveVillard5276;Seyve Villard 5276;1972;0
60;br_SeyveVillard12375;Seyve Villard 12375;1972;0
61;br_TardiadeCaxias;Tardia de Caxias;1972;0
62;br_Outras;Outras(2);1972;0
1;TINTAS;TINTAS;1973;161593877
2;ti_Bacarina;Bacarina;1973;58690
3;ti_Bailey;Bailey;1973;0
4;ti_Bordo;Bordo;1973;5584243
5;ti_Bourdin (S);Bourdin (S);1973;0
6;ti_BRSCarmen;BRS Carmen;1973;0
7;ti_BRSCora;BRS Cora;1973;0
8;ti_BRS Magna;BRS Magna;1973;0
9;ti_BRS Margot;BRS Margot;1973;0
10;ti_BRSMorena;BRS Morena;1973;0
29;ti_BRS Núbia ;BRS Núbia ;1973;0
11;ti_BRS Rúbea;BRS Rúbea;1973;0
12;ti_BRSVioleta;BRS Violeta;1973;0
13;ti_BRS Vitória;BRS Vitória;1973;0
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);1973;0
16;ti_Coleções;Coleções;1973;0
17;ti_Concord;Concord;1973;1850704
18;ti_Concordclone30;Concord clone 30;1973;0
19;ti_Couderc;Couderc;1973;2602220
20;ti_Cynthiana(1);Cynthiana(1);1973;360571
21;ti_Herbemont;Herbemont;1973;33214347
22;ti_IAC138022;IAC 138022;1973;0
23;ti_Isabel;Isabel;1973;109787700
24;ti_IsabelPrecoce;Isabel Precoce;1973;0
25;ti_Jacquez;Jacquez;1973;302686
